                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                0.44647,                0.29735,                 0.8427,                 0.9813,                0.93902,                0.97043,                0.86536,                 0.4671,                0.31031,                0.86144,             0.00033023,             0.00033023,             0.00033023
                     83,                0.42972,                0.29527,                  0.829,                0.98297,                0.94721,                0.97207,                0.86895,                0.47871,                0.32206,                0.86251,             0.00031373,             0.00031373,             0.00031373
                     84,                0.44783,                0.29296,                0.82708,                0.98121,                0.94721,                0.97325,                 0.8752,                0.48652,                0.31834,                0.86392,             0.00029723,             0.00029723,             0.00029723
                     85,                0.41558,                0.28761,                0.84035,                0.98121,                0.94721,                0.97312,                0.87973,                0.47876,                0.31844,                0.85889,             0.00028072,             0.00028072,             0.00028072
                     86,                0.42319,                0.28301,                0.82051,                 0.9808,                0.95341,                0.97356,                0.87116,                0.47595,                0.31138,                0.84845,             0.00026422,             0.00026422,             0.00026422
                     87,                0.45009,                0.29432,                0.83734,                0.98017,                0.95358,                0.97354,                0.86604,                0.48373,                0.30791,                0.85232,             0.00024772,             0.00024772,             0.00024772
                     88,                0.45308,                0.29713,                0.81446,                0.98067,                0.95371,                0.97376,                0.87265,                0.47447,                0.30005,                0.84993,             0.00023121,             0.00023121,             0.00023121
                     89,                0.42128,                0.28199,                0.83996,                0.98104,                0.95378,                0.97401,                0.88347,                0.46713,                0.30313,                0.84947,             0.00021471,             0.00021471,             0.00021471
                     90,                 0.4335,                0.27954,                0.82094,                0.98339,                0.94721,                0.97429,                0.87784,                0.46648,                0.30728,                0.84972,             0.00019821,             0.00019821,             0.00019821
                     91,                0.42132,                0.27936,                0.81562,                0.98343,                0.94721,                 0.9743,                 0.8756,                0.47951,                 0.3065,                0.84597,              0.0001817,              0.0001817,              0.0001817
                     92,                0.43184,                0.27664,                0.82009,                0.98359,                0.94633,                0.97376,                0.88348,                0.47526,                0.30184,                0.83964,              0.0001652,              0.0001652,              0.0001652
                     93,                0.42685,                0.28101,                0.81714,                0.98069,                0.95294,                0.97402,                0.87841,                0.47314,                0.29885,                 0.8358,              0.0001487,              0.0001487,              0.0001487
                     94,                0.41891,                0.26756,                0.81386,                0.97417,                0.93805,                0.96491,                0.87179,                0.45743,                0.30013,                0.82922,             0.00013219,             0.00013219,             0.00013219
                     95,                0.42209,                0.26728,                0.80518,                0.97388,                0.93808,                0.96527,                0.87695,                0.45541,                0.30478,                0.82802,             0.00011569,             0.00011569,             0.00011569
                     96,                0.41116,                0.26353,                0.82187,                 0.9735,                0.93835,                0.96438,                0.88164,                0.45916,                0.31153,                0.82857,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.39997,                0.26421,                 0.8158,                0.97343,                0.93848,                0.96325,                0.88043,                0.46035,                0.30868,                0.83084,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.42585,                0.26363,                0.81743,                0.97353,                0.93835,                0.96344,                0.87554,                0.46147,                0.30682,                0.83017,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.41603,                 0.2625,                0.81836,                0.97372,                0.93819,                0.96368,                0.87633,                 0.4555,                0.30493,                0.82718,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                0.40221,                0.25478,                0.80489,                0.97374,                0.93819,                0.96314,                0.87601,                0.45544,                0.30334,                0.82683,             3.3173e-05,             3.3173e-05,             3.3173e-05
